student_id,enrollment_date,course_id,age,total_modules,modules_completed,completed,last_session_date,dropout_type,max_gap_days,total_time_min,quizzes_taken,quiz_completion_pct,avg_quiz_score
S00001,2026-02-17,COURSE_101,29,10,10,1,2026-03-13,completer,3.0,782.0,10.0,100.0,68.9
S00002,2026-03-15,COURSE_101,27,10,2,0,2026-03-18,explicit_dropout,2.0,16.0,2.0,20.0,63.5
S00003,2026-02-05,COURSE_101,34,10,5,0,2026-03-23,silent_dropout,11.0,344.0,5.0,50.0,60.0
S00004,2026-04-18,COURSE_101,24,10,3,0,2026-05-18,silent_dropout,13.0,128.0,3.0,30.0,60.0
S00005,2026-01-24,COURSE_101,34,10,10,1,2026-02-16,completer,3.0,763.0,10.0,100.0,77.3
S00006,2026-05-24,COURSE_101,30,10,10,1,2026-06-14,completer,2.0,763.0,10.0,100.0,76.3
S00007,2026-02-04,COURSE_101,19,10,10,1,2026-02-24,completer,2.0,650.0,10.0,100.0,87.2
S00008,2026-03-01,COURSE_101,42,10,2,0,2026-03-03,explicit_dropout,1.0,13.0,2.0,20.0,64.5
S00009,2026-05-10,COURSE_101,20,10,7,0,2026-07-04,silent_dropout,11.0,403.0,7.0,70.0,65.57142857142857
S00010,2026-05-19,COURSE_101,36,10,8,0,2026-07-25,silent_dropout,14.0,331.0,8.0,80.0,71.875
S00011,2026-01-28,COURSE_101,40,10,10,1,2026-02-19,completer,1.0,1030.0,10.0,100.0,86.0
S00012,2026-02-08,COURSE_101,26,10,0,0,2026-02-08,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00013,2026-01-18,COURSE_101,28,10,6,0,2026-03-06,silent_dropout,13.0,401.0,6.0,60.0,69.5
S00014,2026-01-10,COURSE_101,22,10,10,1,2026-01-30,completer,3.0,853.0,10.0,100.0,86.7
S00015,2026-03-21,COURSE_101,44,10,10,1,2026-04-10,completer,2.0,1051.0,10.0,100.0,90.9
S00016,2026-04-19,COURSE_101,35,10,10,1,2026-05-06,completer,2.0,999.0,10.0,100.0,84.1
S00017,2026-04-17,COURSE_101,31,10,10,1,2026-05-11,completer,3.0,878.0,10.0,100.0,91.8
S00018,2026-04-08,COURSE_101,22,10,10,1,2026-04-28,completer,3.0,886.0,10.0,100.0,67.5
S00019,2026-02-20,COURSE_101,43,10,10,1,2026-03-14,completer,3.0,959.0,10.0,100.0,74.5
S00020,2026-05-06,COURSE_101,40,10,10,1,2026-05-31,completer,2.0,936.0,10.0,100.0,69.0
S00021,2026-03-28,COURSE_101,41,10,8,0,2026-06-10,silent_dropout,17.0,421.0,8.0,80.0,56.125
S00022,2026-02-21,COURSE_101,42,10,10,1,2026-03-10,completer,3.0,1248.0,10.0,100.0,89.7
S00023,2026-05-12,COURSE_101,41,10,10,1,2026-06-01,completer,3.0,920.0,10.0,100.0,90.7
S00024,2026-02-06,COURSE_101,26,10,10,1,2026-02-26,completer,3.0,696.0,10.0,100.0,83.7
S00025,2026-01-02,COURSE_101,40,10,10,1,2026-01-24,completer,2.0,1065.0,10.0,100.0,71.3
S00026,2026-04-14,COURSE_101,30,10,4,0,2026-05-23,silent_dropout,12.0,245.0,4.0,40.0,70.5
S00027,2026-03-10,COURSE_101,29,10,10,1,2026-03-28,completer,2.0,1093.0,10.0,100.0,88.9
S00028,2026-05-19,COURSE_101,41,10,10,1,2026-06-10,completer,3.0,906.0,10.0,100.0,72.5
S00029,2026-05-23,COURSE_101,26,10,4,0,2026-06-23,silent_dropout,11.0,317.0,4.0,40.0,66.25
S00030,2026-02-04,COURSE_101,19,10,10,1,2026-02-27,completer,3.0,728.0,10.0,100.0,87.0
S00031,2026-01-13,COURSE_101,28,10,8,0,2026-03-23,silent_dropout,14.0,471.0,8.0,80.0,53.75
S00032,2026-05-27,COURSE_101,24,10,10,1,2026-06-21,completer,3.0,877.0,10.0,100.0,74.5
S00033,2026-01-13,COURSE_101,23,10,10,1,2026-02-01,completer,3.0,746.0,10.0,100.0,81.9
S00034,2026-01-17,COURSE_101,42,10,1,0,2026-01-19,explicit_dropout,0.0,17.0,1.0,10.0,69.0
S00035,2026-05-02,COURSE_101,33,10,1,0,2026-05-03,explicit_dropout,0.0,8.0,1.0,10.0,51.0
S00036,2026-04-14,COURSE_101,21,10,5,0,2026-05-29,silent_dropout,13.0,328.0,5.0,50.0,68.6
S00037,2026-03-31,COURSE_101,31,10,10,1,2026-04-20,completer,2.0,1004.0,10.0,100.0,74.0
S00038,2026-05-21,COURSE_101,22,10,10,1,2026-06-09,completer,2.0,934.0,10.0,100.0,69.2
S00039,2026-03-15,COURSE_101,44,10,5,0,2026-05-06,silent_dropout,18.0,244.0,5.0,50.0,59.2
S00040,2026-03-23,COURSE_101,44,10,10,1,2026-04-15,completer,3.0,1005.0,10.0,100.0,68.2
S00041,2026-02-09,COURSE_101,33,10,10,1,2026-03-04,completer,3.0,954.0,10.0,100.0,67.1
S00042,2026-01-22,COURSE_101,23,10,10,1,2026-02-11,completer,3.0,564.0,10.0,100.0,85.4
S00043,2026-03-25,COURSE_101,40,10,10,1,2026-04-19,completer,3.0,853.0,10.0,100.0,83.0
S00044,2026-03-24,COURSE_101,38,10,2,0,2026-03-27,explicit_dropout,1.0,17.0,2.0,20.0,68.0
S00045,2026-03-16,COURSE_101,19,10,10,1,2026-04-06,completer,2.0,732.0,10.0,100.0,68.2
S00046,2026-05-04,COURSE_101,44,10,3,0,2026-06-04,silent_dropout,12.0,288.0,3.0,30.0,62.0
S00047,2026-04-10,COURSE_101,37,10,10,1,2026-04-28,completer,3.0,1066.0,10.0,100.0,70.5
S00048,2026-02-16,COURSE_101,39,10,10,1,2026-03-09,completer,2.0,1020.0,10.0,100.0,67.8
S00049,2026-05-19,COURSE_101,38,10,10,1,2026-06-08,completer,3.0,730.0,10.0,100.0,88.9
S00050,2026-03-02,COURSE_101,41,10,10,1,2026-03-29,completer,3.0,1067.0,10.0,100.0,76.3
S00051,2026-03-13,COURSE_101,27,10,2,0,2026-03-15,explicit_dropout,1.0,12.0,2.0,20.0,55.5
